Star Name,Distance (ly),Mass (M☉),Radius (R☉),Surface Gravity (m/s²)
Sun,0.000015813,1.0,1.0,274.10478078144416
Sirius,0008.6,2.1,1.71,196.85374632913812
Canopus,0310,15.0,71.0,0.8156262074432974
Alpha Centauri,0004.4,1.1,1.2,209.38559643026986
Arcturus,0037,1.1,26.0,0.44602848943726114
Vega,0025,2.2,2.7,82.72023562677326
Capella,0043,2.6,12.0,4.9491140974427426
Rigel,0860,23.0,78.9,1.0127224556237002
Procyon,0011.4,1.5,1.9,113.89395323328705
Betelgeuse,0640[1],20.0,950.0,0.006074344172441975
Achernar,0144,6.7,9.3,21.233692117420226
Hadar,0390,10.5,8.6,38.914280667998426
Altair,0017,1.8,1.8,152.280433767469
Acrux,0320,18.0,8.9,62.288676354828866
Aldebaran,0065,1.5,44.0,0.2123745718864495
Antares,0600,12.0,680.0,0.007113445868030558
Spica,0260,11.43,7.47,56.14636402516638
Pollux,0034,1.9,8.8,6.725194776404233
Fomalhaut,0025,1.9,1.8,160.7404578656617
Deneb,"2,600",19.0,203.0,0.12637993726728236
Mimosa,0350,16.0,8.4,62.15527908876285
Regulus,0077,3.8,3.1,108.38690603220478
Adhara,0430,12.5,14.0,17.481172243714553
Shaula,0700,14.5,8.8,51.32385487255862
Castor,0052,2.8,2.4,133.24537954653536
Gacrux,0088,1.5,84.0,0.05827057414571517
Bellatrix,0240,8.6,5.8,70.07434942688525
Elnath,0130,5.0,4.2,77.69409886095356
Miaplacidus,0110,3.5,6.8,20.747550448422462
Alnilam,"2,000",32.0,42.0,4.972422327101028
Gamma Velorum,"01,100",9.0,6.0,68.52619519536104
Alnair,0101,4.0,3.4,94.84594490707411
Alioth,0081,2.9,4.2,45.06257733935306
Alnitak,01050,33.0,20.0,22.613644414469142
Dubhe,0120,4.25,30.0,1.2943836870234862
Mirfak,0590,8.5,68.0,0.5038690823188311
Wezen,"1,600",17.0,200.0,0.11649453183211377
Sargas,0270,5.7,26.0,2.311238536174899
Kaus Australis,0140,3.5,6.8,20.747550448422462
Avior,0630,9.0,130.0,0.1459729601794673
Alkaid,0104,6.1,3.4,144.640065983288
Menkalinan,081,2.39,2.77,85.37976854483333
Atria,0390,7.0,92.0,0.22669346236650628
Alhena,0109,2.8,3.3,70.4768949667625
Peacock,0180,5.9,4.8,70.19176243969274
Alsephina[2],0080,2.4,2.9,78.22252959280215
Mirzam,0500,13.5,10.0,37.00414540549497
Polaris,0430,5.4,39.0,0.9731530678631156
Alphard,0180,3.0,50.0,0.328925736937733
Mintaka,01200,24.0,16.5,24.163506845747143
Scheat,0196,2.1,95.0,0.06378061381064075
Almaaz,0653,15.0,140.0,0.20977406692457462
Rasalgethi,0360,2.8,280.0,0.009789456456480147
Tau Ceti,011.9,0.783,0.893,269.1382688446168
Delta Pavonis,019.92,0.991,1.22,182.50325030530178
Ran,010.48,0.82,0.74,410.45639196636995
V382 Carinae,"08,900",20.0,485.0,0.02330575243119942
Delta Cephei,0887,4.5,44.5,0.6228867635482888
Mu Cephei,"06,000",19.2,972.0,0.005570386237493149
Titawin,044.25,1.27,1.48,158.9267127430762
P Cygni,"05,545",30.0,76.0,1.4236744154160883
61 Cygni,011.41,0.7,0.665,433.88172660299824
Polaris Australis,0281,1.59,3.74,31.15806867815038
R Coronae Borealis,"04,566",0.85,85.0,0.0322476212684052
54 Piscium,036.1,0.76,0.94,235.76237369159978
Mira,0300,1.2,370.0,0.0024026715627299706
Lacaille 8760,012.87,0.6,0.51,632.306299380494
II Pegasi,0130,0.8,3.4,18.96918898141482
Pistol Star,"025,000",100.0,320.0,0.26768044998187907
S Doradus,"0169,000",24.0,380.0,0.045557581293314824
Barnard's Star,05.98,0.14,0.2,959.3667327350546
Proxima Centauri,04.25,0.12,0.15,1461.892164167702
KIC 8462852,"01,470",1.43,1.58,157.01403481712273
R136a1,"0163,000",290.0,32.0,77.62733049474492
Melnick 42,"0163,000",189.0,21.1,116.36262340848796
WR 102,"018,134",19.0,0.39,34240.5709062948
VFTS 352,"0164,000",57.48,14.47,75.24823324055542
YBP 1194,"02,772",1.01,0.99,282.46692030329416
Gliese 1214,047.5,0.16,0.21,994.4844654202057
VB 10,018.72,0.075,0.1,2055.7858558608314
TRAPPIST-1,039.6,0.089,0.12,1694.1198256630921
2MASS J0523-1403,040.3,0.07,0.086,2594.2853778665626
SDSS J000013.54+255418.6 [de],46.1,0.045820224,0.1017353699999999,1213.4723373937989
2MASS J00040288-6410358,192.0,0.018137172,0.1675036899999999,177.18927226995092
2MASS J00242463-0158201,37.7,0.075412452,0.11201167,1647.5292272061336
2MASS J00274197+0503417,236.0,0.029592228,0.1479787199999999,370.42112122103975
2MASSW J0030300-145033,87.2,0.051547752,0.1007077399999999,1393.1588584075591
2MASS J00332386-1521309 [de],131.0,0.027683052,0.1469510899999999,351.38640539176913
2MASS J00345157+0523050,31.0,0.040092696,0.0965972199999999,1177.7486511370575
2MASS 0036+1821,28.6,0.040092696,0.0965972199999999,1177.7486511370575
2MASSW J0045214+163445,57.0,0.021955524,0.16647606,217.14850276279157
WISEP J004701.06+680352.1 [fr],40.0,0.011455056,0.1335918999999999,175.93553814787887
2MASS J00501994-3322402 [de],34.0,0.03818352,0.0965972199999999,1121.6653820352933
2MASS J00584253-0651239 [de],96.0,0.027683052,0.1469510899999999,351.38640539176913
2MASSI J0103320+193536,70.0,0.049638576,0.1007077399999999,1341.560382170242
SDSSp J010752.33+004156.1 [de],51.0,0.049638576,0.1007077399999999,1341.560382170242
2MASSI J0117474-340325 [de],163.0,0.01909176,0.16647606,188.82478501112314
2MASS J01415823-4633574 [de],130.0,0.01909176,0.16544843,191.17771914015336
SDSS J015141.69+124429.6,70.0,0.044865636,0.0996801099999999,1237.6943879163591
SDSS J020742.48+000056.2 [de],111.0,0.044865636,0.0996801099999999,1237.6943879163591
2MASS J02103857-3015313,101.0,0.01431882,0.15722739,158.7696289193873
2MASS J02340093-6442068,155.0,0.01909176,0.16647606,188.82478501112314
2MASS J02411151-0326587 [de],152.0,0.025773876,0.1448958299999999,336.49961461058786
2MASS J02431371−2453298,35.0,0.031501404,0.1017353699999999,834.2622319582366
LP 771-21,53.0,0.074457864,0.11098404,1656.937488472605
Teegarden's star,12.578,0.07636704,0.1305090099999999,1228.9708370839912
2MASS J02535980+3206373,184.0,0.06204822,0.1952496999999999,446.1338611621535
WISE J0254+0223,24.0,0.06204822,0.1952496999999999,446.1338611621535
DEN 0255-4700,16.2,0.07636704,0.0996801099999999,2106.713851772526
2MASS J03185403-3421292 [de],45.0,0.046774812,0.0996801099999999,1290.3622342106723
2MASS J03205965+1854233,47.0,0.084003744,0.1181774499999999,1648.7166498646857
2MASS J03231002-4631237,192.0,0.021955524,0.17058658,206.80959887163243
SDSS J032553.17+042540.1,59.0,0.04295646,0.0976248499999999,1235.4476155259645
2MASS J03264225-2102057 [de],80.0,0.017182584,0.1335918999999999,263.90330722181835
2MASS J03284265+2302051 [de],98.0,0.051547752,0.1007077399999999,1393.1588584075591
2MASS J03341218-4953322,27.0,0.069684924,0.10687352,1672.3039433327008
LP 944-20,20.9,0.069684924,0.1469510899999999,884.5243997792808
2MASP J0345432+254023,88.0,0.070639512,0.10790115,1663.0762207689872
Teide 1,380.0,0.05250234,0.3884441399999999,95.37578426582247
2MASS J03510004-0052452,48.0,0.097367976,0.1305090099999999,1566.9378172820889
2MASS J03552337+1133437,29.8,0.01909176,0.13564716,284.407579076671
2MASS J04151954−0935066,18.6,0.02863764,0.0976248499999999,823.6317436839763
2MASS J04285096-2253227 [de],85.0,0.07636704,0.11201167,1668.3840275505147
2MASS J04351612-1606574,34.0,0.0954588,0.1294813799999999,1560.694651622551
2MASS J04362788-4114465,142.0,0.037228932,0.2024431099999999,248.99532151748943
2MASS J04390101-2353083 [de],29.5,0.045820224,0.0996801099999999,1264.0283110635155
2MASS J04433764+0002040,82.0,0.021000936,0.1829181399999999,172.04486250521128
2MASS J04455387-3048204 [de],42.0,0.061093632,0.102763,1585.765650506213
2MASS J04510093-3402150 [de],69.0,0.00099277152,7.398935999999999,0.004970812465417817
2MASS J05002100+0330501 [de],44.0,0.061093632,0.102763,1585.765650506213
2MASS J05012406-0010452 [de],64.0,0.020046348,0.1418129399999999,273.2248236044696
2MASS J05160945-0445499 [de],73.0,0.044865636,0.0996801099999999,1237.6943879163591
2MASS J0523−1403,40.0,0.064911984,0.10379063,1651.6772901312145
SDSS J053951.99-005902.0,41.62,0.058229868,0.10379063,1481.6516867353537
LSR 0602+3910 [de],34.6,0.026728464,0.1448958299999999,348.96256329986886
2MASS J06085283-2753583,102.0,0.036274344,0.15517213,412.9416933415482
2MASS J06244595-4521548 [de],39.0,0.053456928,0.1017353699999999,1415.717726959432
2MASS J06411840-4322329 [de],65.0,0.063957396,0.10379063,1627.3879182175199
DENIS-P J0652197-253450 [de],51.0,0.0715941,0.10790115,1685.550223752352
2MASS J07075327-4900503,60.0,0.068730336,0.10584589,1681.5782418884814
UGPS J072227.51-054031.2,13.4,0.024819288,0.1007077399999999,670.780191085121
2MASSI J0727182+171001 [de],29.6,0.039138108,0.0965972199999999,1149.7070165861753
2MASS J07290002-3954043 [de],25.8,0.035319756,0.0965972199999999,1037.5404783826461
SDSS J074201.41+205520.5 [de],49.0,0.041047284,0.0965972199999999,1205.7902856879402
DENIS-P J0751164-253043 [de],55.0,0.067775748,0.10584589,1658.2229885289191
2MASS J07522390+1612157,60.0,0.00191872188,6.987883999999999,0.010770534701818938
DENIS J081730.0-615520,16.1,0.042001872,0.0965972199999999,1233.8319202388227
2MASS J08251968+2115521 [de],35.0,0.049638576,0.1007077399999999,1341.560382170242
SDSSp J083008.12+482847.4 [de],43.0,0.045820224,0.1017353699999999,1213.4723373937989
LHS 2021,55.0,0.084003744,0.1181774499999999,1648.7166498646857
SDSS J083048.80+012831.1 [de],77.0,0.043911048,0.0986524799999999,1236.7285821412138
2MASSI J0835425-081923 [de],23.53,0.059184456,0.102763,1536.210473927894
2MASSI J0847287-153237 [de],43.0,0.061093632,0.102763,1585.765650506213
2MASS J08533619-0329321,27.6,0.073503276,0.10995641,1666.4113007819785
2MASSI J0859254-194926 [de],50.0,0.0477294,0.1007077399999999,1289.9619059329252
2MASSI J0937347+293142,20.0,0.040092696,0.0965972199999999,1177.7486511370575
2MASS 0939−2448,17.4,0.030546816,0.0976248499999999,878.5405265962414
2MASS J09490860-1545485 [de],59.0,0.046774812,0.0986524799999999,1317.384794019989
2MASS J10073369-4555147,46.0,0.042001872,0.0965972199999999,1233.8319202388227
2MASSI J1010148-040649 [de],55.0,0.048683988,0.1007077399999999,1315.7611440515836
2MASS J10224821+5825453 [de],60.0,0.025773876,0.1448958299999999,336.49961461058786
2MASSW J1036530-344138 [de],53.0,0.046774812,0.0996801099999999,1290.3622342106723
2MASS J1047538+212423 [de],34.4,0.040092696,0.0965972199999999,1177.7486511370575
DEN 1048-3956,13.15,0.073503276,0.10995641,1666.4113007819785
Luhman 16B,6.516,0.041047284,0.10481826,1024.064106530048
Luhman 16A,6.516,0.03818352,0.10379063,971.5748765477731
DENIS-P J1058.7−1548,49.0,0.061093632,0.102763,1585.765650506213
TWA 28,180.0,0.034365168,0.24560357,156.15853686205512
Cha 110913-773444,163.0,0.007636704,0.1849733999999999,61.17923034360395
SDSS J111010.01+011613.1,63.0,0.008591292,0.12742612,145.03010835226078
2MASS J11145133−2618235,18.2,0.031501404,0.0986524799999999,887.218330666523
TWA 26,137.0,0.02863764,0.2260786,153.58009270140238
2MASS J11544223-3400390 [de],129.0,0.035319756,0.1541445,407.45367408840207
2MASSW J1155395-372735 [de],31.0,0.061093632,0.102763,1585.765650506213
2MASS J12074836-3900043,217.0,0.016227996,0.17572473,144.05081936859645
2MASSI J1217110-031113 [de],36.0,0.040092696,0.0965972199999999,1177.7486511370575
2M 1237+6526,45.6,0.039138108,0.0965972199999999,1149.7070165861753
TWA 29,262.0,0.001909176,2.569075,0.07928828252531062
SDSSp J125453.90-012247.4 [de],38.0,0.044865636,0.1007077399999999,1212.5641915769495
Kelu-1A,61.0,0.060139044,0.1007077399999999,1625.3520014754856
Kelu-1B,61.0,0.055366104,0.1007077399999999,1496.355810882193
2MASS J13204427+0409045,101.0,0.063957396,0.10379063,1627.3879182175199
SDSSp J132629.82-003831.5 [de],65.0,0.048683988,0.0996801099999999,1343.0300805049853
SDSSp J134646.45-003150.4 [de],48.0,0.042001872,0.0965972199999999,1233.8319202388227
2MASS J13595510-4034582,51.0,0.060139044,0.102763,1560.9880622170535
ULAS J141623.94+134836.3,29.7,0.030546816,0.0986524799999999,860.3329267069314
SDSS J141659.78+500626.4 [de],149.0,0.056320692,0.1017353699999999,1491.5597480465447
DENIS-P J142527.97-365023.4 [de],38.0,0.020046348,0.13564716,298.6279580305045
LHS 2924,38.5,0.072548688,0.10892878,1675.9493680812814
2MASS J14392837+1929150,47.0,0.068730336,0.10584589,1681.5782418884814
LSPM J1440+1339,72.0,0.087822096,0.1222879699999999,1609.729625452076
2MASS J14482563+1031590 [de],47.0,0.056320692,0.1017353699999999,1491.5597480465447
CFBDSIR 1458+10A,104.0,0.0105959268,0.1541445,122.23610222652063
CFBDSIR 1458+10B,104.0,0.008591292,0.1335918999999999,131.95165361090918
TVLM 513-46546,35.1,0.0715941,0.10790115,1685.550223752352
2MASS 1503+2525,20.7,0.042001872,0.0965972199999999,1233.8319202388227
CFBDS J150411+102717,71.0,0.042001872,0.0965972199999999,1233.8319202388227
2MASSW J1506544+132106 [de],46.0,0.065866572,0.10481826,1643.2656593156585
2MASS 1507−1627,23.9,0.05727528,0.1017353699999999,1516.8404217422485
TVLM 868-110639,53.0,0.075412452,0.11098404,1678.1802767863567
2MASSW J1515008+484742 [de],34.0,0.054411516,0.1017353699999999,1440.9984006551363
2MASSI J1526140+204341 [de],67.0,0.051547752,0.1007077399999999,1393.1588584075591
DENIS-P J153941.96-052042.4 [de],51.0,0.060139044,0.102763,1560.9880622170535
2MASS J15462718-3325111 [de],37.0,0.042001872,0.0965972199999999,1233.8319202388227
2MASSW J1552591+294849 [de],68.0,0.02863764,0.1469510899999999,363.5031779914853
2MASSW J1555157-095605 [de],44.0,0.067775748,0.10584589,1658.2229885289191
2MASS J16150413+1340079 [de],48.0,0.040092696,0.0965972199999999,1177.7486511370575
SDSSp J162414.37+002915.6 [de],36.0,0.041047284,0.0965972199999999,1205.7902856879402
2MASS J16262034+3925190 [de],110.0,0.067775748,0.10584589,1658.2229885289191
2MASSW J1632291+190441 [de],50.0,0.046774812,0.0996801099999999,1290.3622342106723
WISEPA J164715.59+563208.2,28.0,0.039138108,0.0965972199999999,1149.7070165861753
LSPM J1658+7027 [de],60.0,0.069684924,0.10687352,1672.3039433327008
2MASSI J1726000+153819,114.0,0.022910112,0.1438681999999999,303.39904027542383
SDSSp J175032.96+175903.9,90.0,0.044865636,0.0996801099999999,1237.6943879163591
2MASS J18283572-4849046,39.0,0.04295646,0.0976248499999999,1235.4476155259645
LSR J1835+3259,18.5,0.073503276,0.10995641,1666.4113007819785
2MASSW J1841086+311727,138.0,0.063957396,0.10379063,1627.3879182175199
2MASS J18432213+4040209,46.0,0.091640448,0.12537086,1598.1244798167959
2MASS J20004841-7523070,105.0,0.0238647,0.1931944399999999,175.2602159430144
SDSS J204749.61-071818.3,65.0,0.043911048,0.0986524799999999,1236.7285821412138
2MASSI J2057540-025230,47.0,0.06682116,0.10481826,1667.0811036535667
2MASSI J2104149-103736,62.0,0.065866572,0.10481826,1643.2656593156585
PSO J318.5−22,80.0,0.006204822,0.15722739,68.80017253173449
HB 2124-4228,113.0,0.089731272,0.1243432299999999,1590.80206214125
2MASS J21392676+0220226,32.1,0.043911048,0.0986524799999999,1236.7285821412138
2MASS J21481628+4003593,26.3,0.05250234,0.1017353699999999,1390.4370532637279
